,name,lat,long,rain,temp
0,แม่ฮ่องสอน,"{'Value': '19.298972222222222222222222222', 'Unit': 'decimal degree'}","{'Value': '97.97577777777777777777777778', 'Unit': 'decimal degree'}",13.5,25.9
1,แม่สะเรียง,"{'Value': '18.166666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '97.93333333333333333333333333', 'Unit': 'decimal degree'}",5.3,25.0
2,เชียงราย,"{'Value': '19.961388888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '99.88138888888888888888888889', 'Unit': 'decimal degree'}",20.1,24.2
3,เชียงราย สกษ.,"{'Value': '19.870833333333333333333333334', 'Unit': 'decimal degree'}","{'Value': '99.78277777777777777777777778', 'Unit': 'decimal degree'}",42.2,23.7
4,พะเยา,"{'Value': '19.133333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '99.9', 'Unit': 'decimal degree'}",29.7,24.0
5,ดอยอ่างขาง,"{'Value': '19.931388888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '99.04833333333333333333333333', 'Unit': 'decimal degree'}",73.8,17.5
6,เชียงใหม่,"{'Value': '18.771111111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '98.97250000000000000000000000', 'Unit': 'decimal degree'}",52.8,25.0
7,ลำปาง,"{'Value': '18.283333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '99.51666666666666666666666667', 'Unit': 'decimal degree'}",15.4,25.5
8,เถิน,"{'Value': '17.636611111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '99.24475000000000000000000000', 'Unit': 'decimal degree'}",54.0,24.8
9,ลำปาง สกษ.,"{'Value': '18.316666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '99.28333333333333333333333333', 'Unit': 'decimal degree'}",12.5,24.8
10,ลำพูน,"{'Value': '18.566666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '99.03333333333333333333333333', 'Unit': 'decimal degree'}",11.3,25.1
11,แพร่,"{'Value': '18.166666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '100.16666666666666666666666667', 'Unit': 'decimal degree'}",21.0,25.7
12,น่าน,"{'Value': '18.779722222222222222222222223', 'Unit': 'decimal degree'}","{'Value': '100.77777777777777777777777778', 'Unit': 'decimal degree'}",16.0,25.5
13,น่าน สกษ.,"{'Value': '18.866666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '100.75', 'Unit': 'decimal degree'}",17.5,23.6
14,ท่าวังผา,"{'Value': '19.110555555555555555555555556', 'Unit': 'decimal degree'}","{'Value': '100.8025', 'Unit': 'decimal degree'}",26.1,24.9
15,ทุ่งช้าง,"{'Value': '19.411944444444444444444444444', 'Unit': 'decimal degree'}","{'Value': '100.88352777777777777777777777', 'Unit': 'decimal degree'}",29.5,24.0
16,อุตรดิตถ์,"{'Value': '17.616666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '100.1', 'Unit': 'decimal degree'}",11.1,26.2
17,หนองคาย,"{'Value': '17.865111111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '102.74727777777777777777777777', 'Unit': 'decimal degree'}",42.5,26.0
18,เลย,"{'Value': '17.45', 'Unit': 'decimal degree'}","{'Value': '101.73333333333333333333333333', 'Unit': 'decimal degree'}",18.8,25.5
19,เลย สกษ.,"{'Value': '17.4', 'Unit': 'decimal degree'}","{'Value': '101.73333333333333333333333333', 'Unit': 'decimal degree'}",8.2,25.0
20,อุดรธานี,"{'Value': '17.383333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '102.8', 'Unit': 'decimal degree'}",32.3,26.6
21,สกลนคร,"{'Value': '17.15', 'Unit': 'decimal degree'}","{'Value': '104.13333333333333333333333333', 'Unit': 'decimal degree'}",6.1,25.0
22,สกลนคร สกษ.,"{'Value': '17.125027777777777777777777778', 'Unit': 'decimal degree'}","{'Value': '104.061', 'Unit': 'decimal degree'}",11.0,24.8
23,นครพนม,"{'Value': '17.410833333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '104.78250000000000000000000000', 'Unit': 'decimal degree'}",0.3,26.0
24,นครพนม สกษ.,"{'Value': '17.443055555555555555555555555', 'Unit': 'decimal degree'}","{'Value': '104.77361111111111111111111111', 'Unit': 'decimal degree'}",0.0,25.0
25,หนองบัวลำภู,"{'Value': '17.232500000000000000000000000', 'Unit': 'decimal degree'}","{'Value': '102.42944444444444444444444445', 'Unit': 'decimal degree'}",6.2,25.5
26,บึงกาฬ,"{'Value': '18.413611111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '103.51672222222222222222222223', 'Unit': 'decimal degree'}",0.0,25.8
27,สุโขทัย,"{'Value': '17.106111111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '99.8', 'Unit': 'decimal degree'}",7.5,26.0
